time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548552788138000000,7x/E1Zkx/onZRKpEjHw/+JPxzowSy2WdJ2olUPeG47c=,2,254,cbs,42992749800,426x240-26,61521,0.806367,14,0,29453,31292,92751,video_sent_2019-01-26T11_2019-01-27T11,3,254,cbs,timer,14.217,0.017,video_sent_2019-01-26T11_2019-01-27T11
1548552788157000000,aWhUcIUav1X7UUjGHfMmBaGc7csK55eo+BctXUKCVFs=,16,254,fox,42993290340,426x240-26,142865,0.838502,14,0,69930,73324,40163,video_sent_2019-01-26T11_2019-01-27T11,16,254,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552788165000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,8,254,fox,42993110160,426x240-26,152676,0.854549,14,0,65445,66469,42548,video_sent_2019-01-26T11_2019-01-27T11,8,254,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552788197000000,KBBANbuGGzGfaByIdw+51QdxAjc2QPyVAlaK4NDXNKY=,4,254,abc,42995632680,426x240-26,85928,0.924177,14,0,69737,102315,41871,video_sent_2019-01-26T11_2019-01-27T11,4,254,abc,timer,11.608,0.001,video_sent_2019-01-26T11_2019-01-27T11
1548552788243000000,Po7ppiZasgYeNzaKTDTmC5swVHH2lGjWtyXdjHaZby0=,2,254,abc,42996173220,426x240-26,51658,0.900329,14,0,72655,75154,40189,video_sent_2019-01-26T11_2019-01-27T11,3,254,abc,startup,14.375,0.004,video_sent_2019-01-26T11_2019-01-27T11
1548552788244000000,P7FthQWrxxvQwf8PJyGEUja3+5bVGYBD+X2I8+GJdHs=,7,254,nbc,42993110160,1280x720-22,287923,0.983776,14,0,427,480,4641025,video_sent_2019-01-26T11_2019-01-27T11,7,254,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552788508000000,KBBANbuGGzGfaByIdw+51QdxAjc2QPyVAlaK4NDXNKY=,4,254,abc,42995812860,1280x720-22,581877,0.982021,71,26,68929,75576,589914,video_sent_2019-01-26T11_2019-01-27T11,4,254,abc,timer,11.36,0.001,video_sent_2019-01-26T11_2019-01-27T11
1548552788533000000,nMEweuVSM2ZaVbBEE37ZiTtNUFLMxFlTPlgea9p8xqU=,6,254,abc,42996353400,426x240-26,53480,0.933187,14,0,67946,69207,39126,video_sent_2019-01-26T11_2019-01-27T11,6,254,abc,startup,13.191,0.031,video_sent_2019-01-26T11_2019-01-27T11
1548552788750000000,nMEweuVSM2ZaVbBEE37ZiTtNUFLMxFlTPlgea9p8xqU=,6,254,abc,42996533580,1280x720-20,641050,0.984366,58,46,61844,70400,580751,video_sent_2019-01-26T11_2019-01-27T11,6,254,abc,timer,13.034,0.031,video_sent_2019-01-26T11_2019-01-27T11
1548552788990000000,KBBANbuGGzGfaByIdw+51QdxAjc2QPyVAlaK4NDXNKY=,4,254,abc,42995993040,1280x720-20,880179,0.98147,414,0,68919,102385,610035,video_sent_2019-01-26T11_2019-01-27T11,4,254,abc,timer,12.863,0.001,video_sent_2019-01-26T11_2019-01-27T11
1548552789338000000,aWhUcIUav1X7UUjGHfMmBaGc7csK55eo+BctXUKCVFs=,16,254,fox,42993470520,1280x720-20,1736167,0.974035,115,0,67186,77290,171667,video_sent_2019-01-26T11_2019-01-27T11,16,254,fox,timer,14.749,0.26,video_sent_2019-01-26T11_2019-01-27T11
1548552789348000000,7x/E1Zkx/onZRKpEjHw/+JPxzowSy2WdJ2olUPeG47c=,2,254,cbs,42992929980,1920x1080-22,1774010,0.967946,70,0,27943,33931,1102233,video_sent_2019-01-26T11_2019-01-27T11,2,254,cbs,timer,14.968,0.017,video_sent_2019-01-26T11_2019-01-27T11
1548552789477000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,8,254,fox,42993290340,1280x720-20,1889787,0.974021,131,0,58631,66033,1180031,video_sent_2019-01-26T11_2019-01-27T11,8,254,fox,timer,14.381,0.338,video_sent_2019-01-26T11_2019-01-27T11
1548552789557000000,P7FthQWrxxvQwf8PJyGEUja3+5bVGYBD+X2I8+GJdHs=,7,254,nbc,42993290340,1920x1080-22,394008,0.987417,180,0,408,843,21259380,video_sent_2019-01-26T11_2019-01-27T11,7,254,nbc,timer,14.007,0.328,video_sent_2019-01-26T11_2019-01-27T11
1548552789731000000,Po7ppiZasgYeNzaKTDTmC5swVHH2lGjWtyXdjHaZby0=,2,254,abc,42996353400,1280x720-20,686763,0.984321,45,0,72000,75863,266043,video_sent_2019-01-26T11_2019-01-27T11,2,254,abc,timer,14.877,0.004,video_sent_2019-01-26T11_2019-01-27T11
1548552790620000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,3,254,cbs,42985002060,426x240-26,67190,0.799472,14,0,168017,168158,17216,video_sent_2019-01-26T11_2019-01-27T11,3,254,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552790872000000,nMEweuVSM2ZaVbBEE37ZiTtNUFLMxFlTPlgea9p8xqU=,6,254,abc,42996713760,1280x720-20,626071,0.9845,554,0,61844,72704,5220120,video_sent_2019-01-26T11_2019-01-27T11,6,254,abc,timer,14.8,0.031,video_sent_2019-01-26T11_2019-01-27T11
1548552790895000000,KBBANbuGGzGfaByIdw+51QdxAjc2QPyVAlaK4NDXNKY=,4,254,abc,42996173220,1280x720-20,800894,0.981094,426,0,68919,99371,1210584,video_sent_2019-01-26T11_2019-01-27T11,4,254,abc,timer,14.866,0.001,video_sent_2019-01-26T11_2019-01-27T11
1548552791338000000,aWhUcIUav1X7UUjGHfMmBaGc7csK55eo+BctXUKCVFs=,16,254,fox,42993650700,1280x720-20,1756187,0.974521,735,0,67150,80262,7018403,video_sent_2019-01-26T11_2019-01-27T11,16,254,fox,timer,14.753,0.26,video_sent_2019-01-26T11_2019-01-27T11
1548552791352000000,7x/E1Zkx/onZRKpEjHw/+JPxzowSy2WdJ2olUPeG47c=,2,254,cbs,42993110160,1920x1080-22,981337,0.974434,88,0,27377,38483,1651401,video_sent_2019-01-26T11_2019-01-27T11,2,254,cbs,timer,14.971,0.017,video_sent_2019-01-26T11_2019-01-27T11
