time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548552788535000000,jRL16/WVYNH6YCKVlsEf3nVP/HYGFSMIUoD0zJueWbA=,42992749800,1280x720-22,777837,0.935009,14,0,306,5084,7661375,3,256,cbs,startup,14.057,0.05,video_sent_2019-01-26T11_2019-01-27T11,3,256,cbs,startup,14.057,0.05,video_sent_2019-01-26T11_2019-01-27T11,3,256,cbs,42992749800,1280x720-22,777837,0.935009,14,0,306,5084,7661375,video_sent_2019-01-26T11_2019-01-27T11
1548552788614000000,gHZDf9G+VrRHGYGix/MbV4ISP6uH4GoaaJAr8pS41F8=,42996533580,1280x720-22,455949,0.981739,14,0,13684,19713,93190,4,256,abc,startup,14.043,0.009,video_sent_2019-01-26T11_2019-01-27T11,4,256,abc,startup,14.043,0.009,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,42996533580,1280x720-22,455949,0.981739,14,0,13684,19713,93190,video_sent_2019-01-26T11_2019-01-27T11
1548552788616000000,MQCjsA9GwkRm88vS0XtXhkmD7XVGEWkdh60CSYZdj8w=,42992569620,1280x720-20,286914,0.980188,14,0,305,4767,6895238,4,256,cbs,startup,12.552,0.031,video_sent_2019-01-26T11_2019-01-27T11,4,256,cbs,startup,12.552,0.031,video_sent_2019-01-26T11_2019-01-27T11,3,256,cbs,42992569620,1280x720-20,286914,0.980188,14,0,305,4767,6895238,video_sent_2019-01-26T11_2019-01-27T11
1548552788631000000,MQCjsA9GwkRm88vS0XtXhkmD7XVGEWkdh60CSYZdj8w=,42992749800,1920x1080-22,2055678,0.967786,217,0,305,1314,114090610,4,256,cbs,startup,12.552,0.031,video_sent_2019-01-26T11_2019-01-27T11,4,256,cbs,startup,12.552,0.031,video_sent_2019-01-26T11_2019-01-27T11,3,256,cbs,42992749800,1920x1080-22,2055678,0.967786,217,0,305,1314,114090610,video_sent_2019-01-26T11_2019-01-27T11
1548552788788000000,vagZZP+rOL7Znu3mkZu8yHCnqVhIEJXAMzerSmFY9SQ=,42995993040,426x240-26,53816,0.90149,14,0,113158,120610,23375,3,256,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,42995993040,426x240-26,53816,0.90149,14,0,113158,120610,23375,video_sent_2019-01-26T11_2019-01-27T11
1548552788937000000,ZLpQONpwzhKYlzvfdbLns3+cWrDCkw5Pr+JBqkB6svA=,42995272320,640x360-24,257529,0.952594,14,0,17877,19243,144891,12,256,abc,startup,12.599,0.033,video_sent_2019-01-26T11_2019-01-27T11,12,256,abc,startup,12.599,0.033,video_sent_2019-01-26T11_2019-01-27T11,12,256,abc,42995272320,640x360-24,257529,0.952594,14,0,17877,19243,144891,video_sent_2019-01-26T11_2019-01-27T11
1548552789107000000,ZLpQONpwzhKYlzvfdbLns3+cWrDCkw5Pr+JBqkB6svA=,42995452500,1280x720-20,1446255,0.978374,203,0,14027,18940,6484819,12,256,abc,timer,12.382,0.033,video_sent_2019-01-26T11_2019-01-27T11,12,256,abc,timer,12.382,0.033,video_sent_2019-01-26T11_2019-01-27T11,12,256,abc,42995452500,1280x720-20,1446255,0.978374,203,0,14027,18940,6484819,video_sent_2019-01-26T11_2019-01-27T11
1548552789187000000,vagZZP+rOL7Znu3mkZu8yHCnqVhIEJXAMzerSmFY9SQ=,42996173220,854x480-24,182427,0.954962,45,30,110442,130488,164546,3,256,abc,timer,7.537,0.037,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,timer,7.537,0.037,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,42996173220,854x480-24,182427,0.954962,45,30,110442,130488,164546,video_sent_2019-01-26T11_2019-01-27T11
1548552789227000000,btkho1+9xp2yQDlbvmLWYD6aPRhxmBHQDX6fz072rxU=,42993110160,426x240-26,152676,0.854549,14,0,61467,96890,23557,3,256,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,256,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,256,fox,42993110160,426x240-26,152676,0.854549,14,0,61467,96890,23557,video_sent_2019-01-26T11_2019-01-27T11
1548552789640000000,gHZDf9G+VrRHGYGix/MbV4ISP6uH4GoaaJAr8pS41F8=,42996713760,854x480-24,158814,0.96898,175,0,10771,20605,1194226,3,256,abc,timer,14.942,0.009,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,timer,14.942,0.009,video_sent_2019-01-26T11_2019-01-27T11,3,256,abc,42996713760,854x480-24,158814,0.96898,175,0,10771,20605,1194226,video_sent_2019-01-26T11_2019-01-27T11
