time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548500401561000000,7Q1PDI3wFXCGlFwELvfwEch61q1iIt5NHCvr5t12auk=,0,231,nbc,38278340100,1280x720-20,448678,0.984513,986,0,68981,69716,20059,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.471,0.197,video_sent_2019-01-26T11_2019-01-27T11
1548500401867000000,dzbANKexYNXmmt0h7vj/bqNBs4SRfZC55dvKhgIw++E=,0,231,nbc,38278520280,1280x720-26,265129,0.970746,4,0,174924,187729,4701327,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.962,0.593,video_sent_2019-01-26T11_2019-01-27T11
1548500403563000000,7Q1PDI3wFXCGlFwELvfwEch61q1iIt5NHCvr5t12auk=,0,231,nbc,38278520280,1920x1080-22,1192372,0.984555,988,0,68981,69446,4028123,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.466,0.197,video_sent_2019-01-26T11_2019-01-27T11
1548500403853000000,dzbANKexYNXmmt0h7vj/bqNBs4SRfZC55dvKhgIw++E=,0,231,nbc,38278700460,1920x1080-22,760265,0.986584,1142,0,174924,181487,4701327,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.971,0.593,video_sent_2019-01-26T11_2019-01-27T11
1548500405562000000,7Q1PDI3wFXCGlFwELvfwEch61q1iIt5NHCvr5t12auk=,0,231,nbc,38278700460,1920x1080-22,760265,0.986584,1142,0,68981,70209,11680332,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.459,0.197,video_sent_2019-01-26T11_2019-01-27T11
1548500405848000000,dzbANKexYNXmmt0h7vj/bqNBs4SRfZC55dvKhgIw++E=,0,231,nbc,38278880640,1920x1080-22,704657,0.988025,1142,0,174924,189371,4701327,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.975,0.593,video_sent_2019-01-26T11_2019-01-27T11
1548500407563000000,7Q1PDI3wFXCGlFwELvfwEch61q1iIt5NHCvr5t12auk=,0,231,nbc,38278880640,1920x1080-22,704657,0.988025,1142,0,68981,69603,11680332,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.455,0.197,video_sent_2019-01-26T11_2019-01-27T11
1548500407845000000,dzbANKexYNXmmt0h7vj/bqNBs4SRfZC55dvKhgIw++E=,0,231,nbc,38279060820,1920x1080-22,856220,0.98745,1142,0,174924,187053,4701327,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.979,0.593,video_sent_2019-01-26T11_2019-01-27T11
1548500409564000000,7Q1PDI3wFXCGlFwELvfwEch61q1iIt5NHCvr5t12auk=,0,231,nbc,38279060820,1920x1080-22,856220,0.98745,1142,0,68981,69528,11680332,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.491,0.197,video_sent_2019-01-26T11_2019-01-27T11
1548500409852000000,dzbANKexYNXmmt0h7vj/bqNBs4SRfZC55dvKhgIw++E=,0,231,nbc,38279241000,1920x1080-22,782274,0.986922,1142,0,174924,185416,4701327,video_sent_2019-01-26T11_2019-01-27T11,0,231,nbc,timer,14.979,0.593,video_sent_2019-01-26T11_2019-01-27T11
