time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548500400788000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38279961720,1280x720-20,579932,0.981149,294,0,75936,109157,669806,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,15.079,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500402853000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38280141900,1280x720-20,475807,0.983754,295,0,75936,104773,2900000,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.826,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500404848000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38280322080,1280x720-20,269778,0.986832,296,0,75936,114102,3839571,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.827,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500406845000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38280502260,1280x720-20,322657,0.986481,296,0,75936,115293,680066,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.832,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500408853000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38280682440,1280x720-20,209792,0.985152,296,0,75936,131945,3281804,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.832,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500410853000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38280862620,1280x720-20,490962,0.983474,296,0,75936,99883,3281804,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.835,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500412839000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38281042800,1280x720-20,819421,0.979354,297,0,75936,114344,3615306,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.835,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500414852000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38281222980,1280x720-20,448318,0.983292,299,0,75936,100931,1995554,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.835,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500416842000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38281403160,1280x720-20,195146,0.985588,300,0,75936,127554,3735189,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.835,0.369,video_sent_2019-01-26T11_2019-01-27T11
1548500418844000000,kaXlFjXCNjAgx4nsvYsDetENDzv04n/e7R4HYutFWt0=,0,232,abc,38281583340,1280x720-20,251885,0.986191,300,0,75936,123854,1428030,video_sent_2019-01-26T11_2019-01-27T11,0,232,abc,timer,14.835,0.369,video_sent_2019-01-26T11_2019-01-27T11
