time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548534037384000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41303922660,426x240-26,18943,0.760609,14,0,119021,124170,22746,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548534037703000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41304102840,426x240-26,21471,0.770808,45,15,119021,127039,175234,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548534037948000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41304283020,854x480-26,110649,0.877629,66,0,119021,124995,244267,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,2.002,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534038365000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41304463200,1280x720-24,401074,0.954544,100,0,119021,215523,429045,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,3.658,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534039842000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41304643380,1280x720-24,219888,0.956142,143,0,119021,492427,9635,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,4.16,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534040380000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41304823560,1280x720-22,292350,0.961502,144,28,119021,366771,545175,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,5.661,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534041163000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41305003740,1280x720-22,319217,0.958079,116,0,119021,399052,455833,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,6.914,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534041881000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41305183920,1280x720-20,491805,0.960851,116,0,119021,204338,540499,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,8.166,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534042935000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41305364100,1280x720-20,592002,0.960869,116,24,119021,270469,592076,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,9.164,0.349,video_sent_2019-01-26T11_2019-01-27T11
1548534044165000000,sYwD1XbIwEco/4WXicVK4b7zCxq5lu/b6+SwheN0Khw=,0,246,cbs,41305544280,1280x720-20,707963,0.969587,110,0,119021,277960,517882,video_sent_2019-01-26T11_2019-01-27T11,0,246,cbs,timer,9.92,0.349,video_sent_2019-01-26T11_2019-01-27T11
