time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548552793674000000,fX85Hw9Yj7xdDgI56K7QWEsOCOFCCLvrC72qrsvZpyM=,42996893940,426x240-26,39781,0.938391,10,0,86469,95630,31733,3,257,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,257,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,257,abc,42996893940,426x240-26,39781,0.938391,10,0,86469,95630,31733,video_sent_2019-01-26T11_2019-01-27T11
1548552816848000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42994191240,426x240-26,32228,0.893445,10,0,135576,150726,20931,0,257,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42994191240,426x240-26,32228,0.893445,10,0,135576,150726,20931,video_sent_2019-01-26T11_2019-01-27T11
1548552817263000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42994371420,426x240-26,73037,0.812987,51,13,131818,138613,249757,0,257,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42994371420,426x240-26,73037,0.812987,51,13,131818,138613,249757,video_sent_2019-01-26T11_2019-01-27T11
1548552817661000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42994551600,426x240-26,75233,0.718676,92,0,130987,153569,42788,0,257,cbs,timer,1.917,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,timer,1.917,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42994551600,426x240-26,75233,0.718676,92,0,130987,153569,42788,video_sent_2019-01-26T11_2019-01-27T11
1548552818120000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42994731780,1280x720-26,344342,0.927959,92,0,130909,157475,10369,0,257,cbs,timer,3.42,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,timer,3.42,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42994731780,1280x720-26,344342,0.927959,92,0,130909,157475,10369,video_sent_2019-01-26T11_2019-01-27T11
1548552818761000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42994911960,1280x720-24,508756,0.941926,117,24,130000,172994,563227,0,257,cbs,timer,4.671,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,timer,4.671,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42994911960,1280x720-24,508756,0.941926,117,24,130000,172994,563227,video_sent_2019-01-26T11_2019-01-27T11
1548552819546000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42995092140,1280x720-22,211913,0.976174,59,0,130000,134290,625984,0,257,cbs,timer,5.923,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,timer,5.923,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42995092140,1280x720-22,211913,0.976174,59,0,130000,134290,625984,video_sent_2019-01-26T11_2019-01-27T11
1548552820008000000,Lznm83XwFB5avtHpDNSVOTbfgouO5x0hzyGFwDxvpyc=,42995272320,1280x720-20,652059,0.973805,62,28,130000,146476,603642,0,257,cbs,timer,7.425,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,timer,7.425,0.451,video_sent_2019-01-26T11_2019-01-27T11,0,257,cbs,42995272320,1280x720-20,652059,0.973805,62,28,130000,146476,603642,video_sent_2019-01-26T11_2019-01-27T11
1548552820548000000,MQCjsA9GwkRm88vS0XtXhkmD7XVGEWkdh60CSYZdj8w=,42993650700,426x240-26,103087,0.784643,10,0,397,706,7294710,6,257,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,6,257,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,6,257,cbs,42993650700,426x240-26,103087,0.784643,10,0,397,706,7294710,video_sent_2019-01-26T11_2019-01-27T11
1548552820573000000,MQCjsA9GwkRm88vS0XtXhkmD7XVGEWkdh60CSYZdj8w=,42993830880,640x360-24,365045,0.860886,9,0,397,1632,5537284,6,257,cbs,startup,1.63,0.033,video_sent_2019-01-26T11_2019-01-27T11,6,257,cbs,startup,1.63,0.033,video_sent_2019-01-26T11_2019-01-27T11,6,257,cbs,42993830880,640x360-24,365045,0.860886,9,0,397,1632,5537284,video_sent_2019-01-26T11_2019-01-27T11
