time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548552823696000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42992569620,426x240-26,18101,0.910664,14,0,99216,99641,27253,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42992569620,426x240-26,18101,0.910664,14,0,99216,99641,27253,video_sent_2019-01-26T11_2019-01-27T11
1548552823914000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42992749800,426x240-26,61521,0.806367,30,0,99216,102884,189656,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42992749800,426x240-26,61521,0.806367,30,0,99216,102884,189656,video_sent_2019-01-26T11_2019-01-27T11
1548552824187000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42992929980,640x360-24,144866,0.860724,87,0,99216,99734,410944,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42992929980,640x360-24,144866,0.860724,87,0,99216,99734,410944,video_sent_2019-01-26T11_2019-01-27T11
1548552824502000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42993110160,854x480-26,105783,0.897082,146,16,99216,99585,655369,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42993110160,854x480-26,105783,0.897082,146,16,99216,99585,655369,video_sent_2019-01-26T11_2019-01-27T11
1548552824703000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42993290340,1920x1080-24,1587749,0.969352,172,0,99216,99661,1067779,11,264,cbs,timer,4.75,0.891,video_sent_2019-01-26T11_2019-01-27T11,11,264,cbs,timer,4.75,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42993290340,1920x1080-24,1587749,0.969352,172,0,99216,99661,1067779,video_sent_2019-01-26T11_2019-01-27T11
1548552825139000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42993470520,1920x1080-24,1516459,0.965252,1285,0,99185,100366,8352996,11,264,cbs,timer,4.75,0.891,video_sent_2019-01-26T11_2019-01-27T11,11,264,cbs,timer,4.75,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42993470520,1920x1080-24,1516459,0.965252,1285,0,99185,100366,8352996,video_sent_2019-01-26T11_2019-01-27T11
1548552825601000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42993650700,1920x1080-22,3681727,0.962361,883,10,99185,112180,4129891,10,264,cbs,timer,7.754,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,timer,7.754,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42993650700,1920x1080-22,3681727,0.962361,883,10,99185,112180,4129891,video_sent_2019-01-26T11_2019-01-27T11
1548552826092000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42993830880,1920x1080-22,4869981,0.959413,1622,0,99185,99781,10926591,10,264,cbs,timer,7.754,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,timer,7.754,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42993830880,1920x1080-22,4869981,0.959413,1622,0,99185,99781,10926591,video_sent_2019-01-26T11_2019-01-27T11
1548552826769000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42994011060,1920x1080-22,458574,0.980218,1729,0,99185,109563,1998085,10,264,cbs,timer,10.758,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,timer,10.758,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42994011060,1920x1080-22,458574,0.980218,1729,0,99185,109563,1998085,video_sent_2019-01-26T11_2019-01-27T11
1548552826914000000,OsTzlVCSIKKWtzOf9qg/K/jb1Khj/byCzvNY4ZFJRoc=,42994191240,1920x1080-22,764400,0.980811,1754,0,99185,100697,3333261,10,264,cbs,timer,10.758,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,timer,10.758,0.891,video_sent_2019-01-26T11_2019-01-27T11,10,264,cbs,42994191240,1920x1080-22,764400,0.980811,1754,0,99185,100697,3333261,video_sent_2019-01-26T11_2019-01-27T11
