time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548552819592000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,12,267,pbs,42993830880,426x240-26,26086,0.955418,10,0,49313,50802,58889,video_sent_2019-01-26T11_2019-01-27T11,12,267,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552819714000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,12,267,pbs,42994011060,640x360-24,31592,0.972466,28,0,48453,51031,394687,video_sent_2019-01-26T11_2019-01-27T11,12,267,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552819823000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,12,267,pbs,42994191240,640x360-24,27061,0.972842,55,0,47744,53538,894226,video_sent_2019-01-26T11_2019-01-27T11,12,267,pbs,startup,0.827,0.22,video_sent_2019-01-26T11_2019-01-27T11
1548552819889000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,12,267,pbs,42994371420,1920x1080-22,439347,0.990745,55,0,47744,55859,894226,video_sent_2019-01-26T11_2019-01-27T11,12,267,pbs,startup,0.827,0.22,video_sent_2019-01-26T11_2019-01-27T11
1548552819937000000,fX85Hw9Yj7xdDgI56K7QWEsOCOFCCLvrC72qrsvZpyM=,5,267,abc,42997254300,426x240-26,80630,0.931612,10,0,85889,89548,31039,video_sent_2019-01-26T11_2019-01-27T11,6,267,abc,startup,0.453,0.019,video_sent_2019-01-26T11_2019-01-27T11
1548552820240000000,fX85Hw9Yj7xdDgI56K7QWEsOCOFCCLvrC72qrsvZpyM=,5,267,abc,42997434480,426x240-26,88800,0.922179,80,2,85889,96425,592033,video_sent_2019-01-26T11_2019-01-27T11,5,267,abc,timer,0.453,0.019,video_sent_2019-01-26T11_2019-01-27T11
1548552820354000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,12,267,pbs,42994551600,1920x1080-24,313211,0.988802,29,0,47462,49821,757651,video_sent_2019-01-26T11_2019-01-27T11,12,267,pbs,timer,4.529,0.22,video_sent_2019-01-26T11_2019-01-27T11
1548552820400000000,fX85Hw9Yj7xdDgI56K7QWEsOCOFCCLvrC72qrsvZpyM=,5,267,abc,42997614660,1280x720-22,820561,0.979478,130,0,85889,93846,994484,video_sent_2019-01-26T11_2019-01-27T11,5,267,abc,timer,2.455,0.019,video_sent_2019-01-26T11_2019-01-27T11
1548552820761000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,12,267,pbs,42994731780,1920x1080-24,326322,0.988591,32,0,47462,49725,914413,video_sent_2019-01-26T11_2019-01-27T11,12,267,pbs,timer,6.029,0.22,video_sent_2019-01-26T11_2019-01-27T11
1548552820808000000,fX85Hw9Yj7xdDgI56K7QWEsOCOFCCLvrC72qrsvZpyM=,5,267,abc,42997794840,1280x720-20,1108175,0.982842,361,0,85889,106491,2283947,video_sent_2019-01-26T11_2019-01-27T11,5,267,abc,timer,4.223,0.019,video_sent_2019-01-26T11_2019-01-27T11
