time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548531639655000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41088427380,426x240-26,84993,0.926767,14,0,298,4813,6878859,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548531639681000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41088607560,1920x1080-22,1596726,0.973274,90,0,298,1652,94868965,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548531639707000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41088787740,1920x1080-22,1423835,0.975087,192,0,298,1212,122092986,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,startup,2.002,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531639730000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41088967920,1920x1080-22,1614337,0.97567,192,0,298,1823,96475907,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,startup,2.002,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531639755000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41089148100,1920x1080-22,1712505,0.975758,188,0,298,1689,112562665,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,startup,2.002,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531639795000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41089328280,1920x1080-22,1794857,0.975159,190,0,298,1149,42868421,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,startup,2.002,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531639828000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41089508460,1920x1080-22,1611189,0.980544,136,0,298,1012,31283950,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,startup,2.002,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531639856000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41089688640,1920x1080-22,1657106,0.978709,136,0,298,1447,106445740,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,startup,2.002,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531640930000000,OWwuSzLEGqo1Xv+zw3gDAKo9mq3T49hOa3KNUv2+XcQ=,0,252,nbc,41089868820,1920x1080-22,1219645,0.980955,136,0,298,1453,85961959,video_sent_2019-01-26T11_2019-01-27T11,0,252,nbc,timer,14.805,0.05,video_sent_2019-01-26T11_2019-01-27T11
1548531667148000000,feZPhbaeZ1a4zIEP53J+zUzhd0AmFrVmr00NDfrqKEQ=,0,252,cbs,41090409360,426x240-26,52814,0.903108,14,0,67037,79334,43558,video_sent_2019-01-26T11_2019-01-27T11,0,252,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548531667463000000,feZPhbaeZ1a4zIEP53J+zUzhd0AmFrVmr00NDfrqKEQ=,0,252,cbs,41090589540,426x240-26,41221,0.868567,61,3,56759,68730,529177,video_sent_2019-01-26T11_2019-01-27T11,0,252,cbs,startup,2.002,0.335,video_sent_2019-01-26T11_2019-01-27T11
1548531667559000000,feZPhbaeZ1a4zIEP53J+zUzhd0AmFrVmr00NDfrqKEQ=,0,252,cbs,41090769720,640x360-24,90543,0.940207,72,0,56759,68621,509610,video_sent_2019-01-26T11_2019-01-27T11,1,252,cbs,timer,2.002,0.335,video_sent_2019-01-26T11_2019-01-27T11
1548531667728000000,feZPhbaeZ1a4zIEP53J+zUzhd0AmFrVmr00NDfrqKEQ=,0,252,cbs,41090949900,1920x1080-22,1208461,0.981178,82,0,56759,68800,559601,video_sent_2019-01-26T11_2019-01-27T11,1,252,cbs,timer,2.002,0.335,video_sent_2019-01-26T11_2019-01-27T11
1548531668205000000,feZPhbaeZ1a4zIEP53J+zUzhd0AmFrVmr00NDfrqKEQ=,0,252,cbs,41091130080,1920x1080-24,1232663,0.974984,767,0,56759,78470,6846093,video_sent_2019-01-26T11_2019-01-27T11,0,252,cbs,timer,5.747,0.335,video_sent_2019-01-26T11_2019-01-27T11
1548531668672000000,feZPhbaeZ1a4zIEP53J+zUzhd0AmFrVmr00NDfrqKEQ=,0,252,cbs,41091310260,1920x1080-24,1038295,0.95993,817,0,56759,102737,690514,video_sent_2019-01-26T11_2019-01-27T11,0,252,cbs,timer,7.249,0.335,video_sent_2019-01-26T11_2019-01-27T11
