time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548552817205000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42994011060,426x240-26,170811,0.847526,10,0,64341,75882,26052,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42994011060,426x240-26,170811,0.847526,10,0,64341,75882,26052,video_sent_2019-01-26T11_2019-01-27T11
1548552817667000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42994191240,854x480-24,507007,0.931234,144,0,63752,68337,1352337,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42994191240,854x480-24,507007,0.931234,144,0,63752,68337,1352337,video_sent_2019-01-26T11_2019-01-27T11
1548552817842000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42994371420,1280x720-20,1655109,0.975185,491,1,60209,72683,4449100,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42994371420,1280x720-20,1655109,0.975185,491,1,60209,72683,4449100,video_sent_2019-01-26T11_2019-01-27T11
1548552818273000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42994551600,1280x720-20,1777381,0.974097,359,0,59000,71131,788885,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42994551600,1280x720-20,1777381,0.974097,359,0,59000,71131,788885,video_sent_2019-01-26T11_2019-01-27T11
1548552818673000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42994731780,1280x720-20,1716880,0.974757,256,0,55697,74852,3265681,12,266,fox,timer,6.058,1.209,video_sent_2019-01-26T11_2019-01-27T11,12,266,fox,timer,6.058,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42994731780,1280x720-20,1716880,0.974757,256,0,55697,74852,3265681,video_sent_2019-01-26T11_2019-01-27T11
1548552819092000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42994911960,1280x720-20,1538548,0.974077,266,0,54532,70352,4376624,12,266,fox,timer,6.058,1.209,video_sent_2019-01-26T11_2019-01-27T11,12,266,fox,timer,6.058,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42994911960,1280x720-20,1538548,0.974077,266,0,54532,70352,4376624,video_sent_2019-01-26T11_2019-01-27T11
1548552819423000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42995092140,1280x720-20,1705353,0.974851,272,0,54532,73128,5379022,11,266,fox,timer,9.057,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,timer,9.057,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42995092140,1280x720-20,1705353,0.974851,272,0,54532,73128,5379022,video_sent_2019-01-26T11_2019-01-27T11
1548552819823000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42995272320,1280x720-20,1823461,0.97445,279,0,54532,66393,5558859,11,266,fox,timer,9.057,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,timer,9.057,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42995272320,1280x720-20,1823461,0.97445,279,0,54532,66393,5558859,video_sent_2019-01-26T11_2019-01-27T11
1548552820233000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,42995452500,1280x720-20,2031835,0.974211,284,0,54532,73756,5181167,11,266,fox,timer,9.057,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,timer,9.057,1.209,video_sent_2019-01-26T11_2019-01-27T11,11,266,fox,42995452500,1280x720-20,2031835,0.974211,284,0,54532,73756,5181167,video_sent_2019-01-26T11_2019-01-27T11
1548552821026000000,0FWBnkR6ClBRXGEZYDpHQ54JMC9j7UDiwm3Fl3HIPZw=,42993290340,426x240-26,81504,0.855433,10,0,20832,22268,93947,11,266,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,11,266,cbs,42993290340,426x240-26,81504,0.855433,10,0,20832,22268,93947,video_sent_2019-01-26T11_2019-01-27T11
