time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548552791601000000,Yjg/HtE4DhkJ61GmeynBuIWVjsUe9fZDoXHsNTteUsY=,7,261,pbs,42991848900,426x240-26,25666,0.948295,10,0,88094,114291,30174,video_sent_2019-01-26T11_2019-01-27T11,7,261,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552791799000000,Yjg/HtE4DhkJ61GmeynBuIWVjsUe9fZDoXHsNTteUsY=,7,261,pbs,42992029080,1920x1080-24,397201,0.988047,20,0,88094,108981,146862,video_sent_2019-01-26T11_2019-01-27T11,8,261,pbs,timer,9.692,0.15,video_sent_2019-01-26T11_2019-01-27T11
1548552792364000000,Yjg/HtE4DhkJ61GmeynBuIWVjsUe9fZDoXHsNTteUsY=,7,261,pbs,42992209260,1280x720-20,263636,0.986762,309,0,86159,102869,2273747,video_sent_2019-01-26T11_2019-01-27T11,8,261,pbs,timer,9.692,0.15,video_sent_2019-01-26T11_2019-01-27T11
1548552792564000000,Yjg/HtE4DhkJ61GmeynBuIWVjsUe9fZDoXHsNTteUsY=,7,261,pbs,42992389440,1920x1080-24,337319,0.988649,361,0,86159,109531,2245610,video_sent_2019-01-26T11_2019-01-27T11,8,261,pbs,timer,9.692,0.15,video_sent_2019-01-26T11_2019-01-27T11
1548552794267000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,11,261,pbs,42993650700,426x240-26,19993,0.953094,10,0,48737,50039,59585,video_sent_2019-01-26T11_2019-01-27T11,11,261,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794569000000,MQCjsA9GwkRm88vS0XtXhkmD7XVGEWkdh60CSYZdj8w=,5,261,cbs,42993470520,426x240-26,82390,0.857321,10,0,287,4801,8321839,video_sent_2019-01-26T11_2019-01-27T11,5,261,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794622000000,KBBANbuGGzGfaByIdw+51QdxAjc2QPyVAlaK4NDXNKY=,5,261,abc,42996533580,426x240-26,47956,0.936406,10,0,68659,100002,42529,video_sent_2019-01-26T11_2019-01-27T11,5,261,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794648000000,R2iTMG3k5WhSHH93I1OuaPFw29mSekCNr1wf85XFO9A=,5,261,abc,42996893940,426x240-26,39781,0.938391,10,0,66996,68999,40654,video_sent_2019-01-26T11_2019-01-27T11,7,261,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794696000000,Yjg/HtE4DhkJ61GmeynBuIWVjsUe9fZDoXHsNTteUsY=,7,261,pbs,42992569620,1920x1080-22,512787,0.989891,361,0,86159,106044,2616408,video_sent_2019-01-26T11_2019-01-27T11,7,261,pbs,timer,14.736,0.15,video_sent_2019-01-26T11_2019-01-27T11
1548552794763000000,JFHkDqYakz5l+8QotHG2TLgUbkdpl+I23WQgcY1oU8Q=,9,261,fox,42993830880,426x240-26,137214,0.837744,10,0,64253,66206,44936,video_sent_2019-01-26T11_2019-01-27T11,9,261,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
